"Region","Date","New Cases","Estimated Effective R","95% CI Low","95% CI High"
"San Francisco",2020-02-02,2,NA,NA,NA
"San Francisco",2020-02-03,0,NA,NA,NA
"San Francisco",2020-02-04,0,NA,NA,NA
"San Francisco",2020-02-05,0,NA,NA,NA
"San Francisco",2020-02-06,0,NA,NA,NA
"San Francisco",2020-02-07,0,NA,NA,NA
"San Francisco",2020-02-08,0,NA,NA,NA
"San Francisco",2020-02-09,0,NA,NA,NA
"San Francisco",2020-02-10,0,NA,NA,NA
"San Francisco",2020-02-11,0,NA,NA,NA
"San Francisco",2020-02-12,0,NA,NA,NA
"San Francisco",2020-02-13,0,NA,NA,NA
"San Francisco",2020-02-14,0,NA,NA,NA
"San Francisco",2020-02-15,0,NA,NA,NA
"San Francisco",2020-02-16,0,NA,NA,NA
"San Francisco",2020-02-17,0,NA,NA,NA
"San Francisco",2020-02-18,0,NA,NA,NA
"San Francisco",2020-02-19,0,NA,NA,NA
"San Francisco",2020-02-20,0,NA,NA,NA
"San Francisco",2020-02-21,0,NA,NA,NA
"San Francisco",2020-02-22,0,NA,NA,NA
"San Francisco",2020-02-23,0,NA,NA,NA
"San Francisco",2020-02-24,1,NA,NA,NA
"San Francisco",2020-02-25,0,NA,NA,NA
"San Francisco",2020-02-26,0,NA,NA,NA
"San Francisco",2020-02-27,0,NA,NA,NA
"San Francisco",2020-02-28,0,NA,NA,NA
"San Francisco",2020-02-29,0,NA,NA,NA
"San Francisco",2020-03-01,0,NA,NA,NA
"San Francisco",2020-03-02,0,NA,NA,NA
"San Francisco",2020-03-03,0,NA,NA,NA
"San Francisco",2020-03-04,0,NA,NA,NA
"San Francisco",2020-03-05,2,NA,NA,NA
"San Francisco",2020-03-06,0,NA,NA,NA
"San Francisco",2020-03-07,6,NA,NA,NA
"San Francisco",2020-03-08,0,NA,NA,NA
"San Francisco",2020-03-09,5,1.06580809507829,0.15781374605367,1.97380244410291
"San Francisco",2020-03-10,1,1.10529633531323,-0.960953360257596,3.17154603088407
"San Francisco",2020-03-11,0,NA,NA,NA
"San Francisco",2020-03-12,4,1.18459378642009,0.116089114705517,2.25309845813466
"San Francisco",2020-03-13,5,1.22386646189058,0.252804441172683,2.19492848260848
"San Francisco",2020-03-14,5,1.26233163129978,0.276424278841061,2.24823898375851
"San Francisco",2020-03-15,6,1.29936878150628,0.386484631108077,2.21225293190449
"San Francisco",2020-03-16,6,1.33414568596181,0.409320165472673,2.25897120645096
"San Francisco",2020-03-17,3,1.3656368489383,0.0426202663936726,2.68865343148293
"San Francisco",2020-03-18,5,1.39273387364999,0.357958993427896,2.42750875387209
"San Francisco",2020-03-19,22,1.41438237278447,0.917309681731366,1.91145506383757
"San Francisco",2020-03-20,6,1.42967761068224,0.472806310958966,2.38654891040551
"San Francisco",2020-03-21,5,1.43795962846271,0.38679470673865,2.48912455018678
"San Francisco",2020-03-22,27,1.43894447497025,0.986459584444669,1.89142936549584
"San Francisco",2020-03-23,23,1.43285938203283,0.94365433079041,1.92206443327526
"San Francisco",2020-03-24,18,1.42050823345499,0.869911102219129,1.97110536469086
"San Francisco",2020-03-25,29,1.40321707095885,0.972083942069305,1.83435019984839
"San Francisco",2020-03-26,45,1.38269445349815,1.03913092418225,1.72625798281405
"San Francisco",2020-03-27,56,1.36077199405081,1.05524323916127,1.66630074894035
"San Francisco",2020-03-28,26,1.3390677550323,0.894261324165737,1.78387418589886
"San Francisco",2020-03-29,35,1.31872408244486,0.93827057428841,1.6991775906013
"San Francisco",2020-03-30,31,1.30030283411831,0.898880811735402,1.70172485650122
"San Francisco",2020-03-31,26,1.28385300742524,0.848310111700412,1.71939590315007
