"Region","Estimated Effective R","95% CI Low","95% CI High"
"San Luis Obispo",0.674155181215831,0.308888570138497,1.03942179229316
"Central Coast",0.691610479716381,0.47135996506526,0.911860994367502
"Santa Clara",0.73943050404162,0.607669677153943,0.871191330929296
"Northern",0.9222267139413,0.7467886639106,1.097664763972
"Central",0.938128347024463,0.788519958124751,1.08773673592418
"San Diego",0.991254743394487,0.544465124066173,1.4380443627228
"South Central",1.00925249297971,0.862355557197054,1.15614942876236
"Marin",1.01222197603571,0.246325568567643,1.77811838350377
"San Mateo",1.04729670893985,0.753900530301266,1.34069288757844
"North Bay",1.05739204927891,0.896269218254622,1.21851488030321
"San Francisco",1.07762947864034,0.755655880068877,1.39960307721181
"Riverside",1.12138069503884,0.909188749894165,1.33357264018352
"Imperial",1.16604799892324,-0.971394466321779,3.30349046416826
"Santa Barbara",1.17101473262097,0.385282092060433,1.9567473731815
"Alameda",1.37746571152511,0.984783921973866,1.77014750107636
"Delta",1.52358129611969,1.38881241399916,1.65835017824022
"Eastern",1.54664569303502,1.31646520190579,1.77682618416425
"Contra Costa",1.5470975109077,1.43792518661387,1.65626983520153
"Los Angeles",1.67408056243034,1.63837698936205,1.70978413549863
"San Bernardino",1.69557516130107,1.55836675659652,1.83278356600562
"Ventura",1.98012107485023,1.49932324098625,2.46091890871421
"Orange",2.10178122863178,1.59776190218415,2.60580055507941
