"State","Date","New Cases","Estimated Effective R","95% CI Low","95% CI High"
"Alabama",2020-03-13,6,0.882587393475192,0.131331682323483,1.6338431046269
"Alabama",2020-03-14,6,0.945981625967039,0.166773923832908,1.72518932810117
"Alabama",2020-03-15,11,1.01146525780833,0.416580177620705,1.60635033799597
"Alabama",2020-03-16,6,1.07424788334972,0.244341708985901,1.90415405771353
"Alabama",2020-03-17,10,1.13347544107623,0.47326691820829,1.79368396394417
"Alabama",2020-03-18,12,1.18824479132639,0.57125413328985,1.80523544936294
"Alabama",2020-03-19,27,1.23763028379784,0.817885588423654,1.65737497917202
"Alabama",2020-03-20,28,1.280736132386,0.86147084714895,1.70000141762306
"Alabama",2020-03-21,25,1.31677918566922,0.866895969253616,1.76666240208483
"Alabama",2020-03-22,26,1.34525161779153,0.89937917613708,1.79112405944598
"Alabama",2020-03-23,39,1.36612693238482,0.999270227056019,1.73298363771362
"Alabama",2020-03-24,46,1.38001551904984,1.04051684762994,1.71951419046974
"Alabama",2020-03-25,144,1.38813843016484,1.19569427110258,1.5805825892271
"Alabama",2020-03-26,152,1.39205365195566,1.20447987263044,1.57962743128088
"Alabama",2020-03-27,101,1.39322830319278,1.1630238337382,1.62343277264736
"Alabama",2020-03-28,81,1.39266733874565,1.13566184473987,1.64967283275144
"Alabama",2020-03-29,110,1.39077758010136,1.17038751747254,1.61116764273019
"Alabama",2020-03-30,117,1.38744759010756,1.17400874807969,1.60088643213543
"Alabama",2020-03-31,52,1.38225885452788,1.06270064491038,1.70181706414537
"Alabama",2020-04-01,109,1.3747021594466,1.15458841347482,1.59481590541838
"Alabama",2020-04-02,162,1.3643652334389,1.18449333178369,1.54423713509411
"Alabama",2020-04-03,265,1.35101702574338,1.21107033619468,1.49096371529208
"Alabama",2020-04-04,97,1.33458699463281,1.10468506778179,1.56448892148383
"Alabama",2020-04-05,208,1.31514122591793,1.15929019428878,1.47099225754708
"Alabama",2020-04-06,165,1.29291384479585,1.11941430403145,1.46641338556024
"Alabama",2020-04-07,192,1.26837628653826,1.10907124722784,1.42768132584869
"Alabama",2020-04-08,301,1.24226281799713,1.11634700365585,1.36817863233841
"Alabama",2020-04-09,340,1.21551093984547,1.09831905294275,1.33270282674818
"Alabama",2020-04-10,170,1.18912403653094,1.0251981749058,1.35304989815608
"Alabama",2020-04-11,254,1.16403528172971,1.03134922254387,1.29672134091555
