"State","Estimated Effective R","95% CI Low","95% CI High"
"Tennessee",0.715085688332876,0.525588212339317,0.904583164326435
"Florida",0.81737004807189,0.770614596754391,0.864125499389389
"New Jersey",0.894779727676098,0.874646661663737,0.91491279368846
"Rhode Island",0.94944675131193,0.38437259639268,1.51452090623118
"Missouri",0.984696834546378,0.942595319323963,1.02679834976879
"California",1.06750984095729,1.03419515644508,1.1008245254695
"Colorado",1.09041302985882,1.0309459137212,1.14988014599644
"South Dakota",1.18694964947219,0.622642656404105,1.75125664254027
"Wyoming",1.20183312487048,1.03162172549265,1.37204452424832
"Kansas",1.20525644933925,0.737151846269923,1.67336105240857
"Montana",1.22035267255175,1.02358868639016,1.41711665871334
"New Hampshire",1.25361463325712,0.963386431546191,1.54384283496805
"Iowa",1.25439949600234,1.12098822712969,1.38781076487498
"North Dakota",1.2730969975007,0.967187218099026,1.57900677690237
"Delaware",1.29769970661549,1.11155945240791,1.48383996082306
"West Virginia",1.30553138505129,1.11835330423398,1.49270946586859
"Washington",1.35300654046819,1.15316484651854,1.55284823441784
"Indiana",1.35341579843162,1.28157624360019,1.42525535326305
"Utah",1.3738934335553,1.29550698212417,1.45227988498643
"Oregon",1.40034356978728,1.29982376530811,1.50086337426646
"New Mexico",1.40307402388814,1.26541909301199,1.54072895476429
"Michigan",1.4072961676009,0.550335117198487,2.26425721800331
"Idaho",1.40892116043729,1.27778614501179,1.54005617586279
"Nevada",1.42168304128969,1.36143313282593,1.48193294975346
"Pennsylvania",1.42942793451937,1.35923726888686,1.49961860015188
"Maryland",1.43045142693761,1.32863328605067,1.53226956782454
"Arizona",1.43184896618516,1.39078765183036,1.47291028053997
"Ohio",1.43886535504484,1.37861557034613,1.49911513974355
"Nebraska",1.44024446356573,1.17507718760827,1.7054117395232
"Texas",1.44257743771793,1.4189654344455,1.46618944099037
"Vermont",1.45996028291684,0.969984102184422,1.94993646364926
"Maine",1.48957340870542,1.21961247132971,1.75953434608113
"New York",1.50463171560054,1.46166539974573,1.54759803145535
"Illinois",1.51543559708065,1.4495034753085,1.58136771885281
"Minnesota",1.51655804219206,1.38838967704594,1.64472640733819
"Hawaii",1.51971963178454,1.39314058229298,1.64629868127609
"Virginia",1.53214438825662,1.44122525077047,1.62306352574276
"Wisconsin",1.53452049539181,1.40892165032052,1.66011934046311
"Arkansas",1.53730128390749,1.48518796571143,1.58941460210355
"North Carolina",1.55651137280702,1.48074233414243,1.63228041147161
"Connecticut",1.57725298144086,1.42945405954189,1.72505190333982
"Oklahoma",1.60520006975657,1.52192454070456,1.68847559880858
"Georgia",1.61313003565362,1.55764539865894,1.66861467264831
"Louisiana",1.6226559336809,1.57379155661855,1.67152031074325
"Kentucky",1.64228791818921,1.55775560690329,1.72682022947513
"South Carolina",1.64940412185439,1.55916477271104,1.73964347099774
"Alabama",1.67737053981348,1.62018817481014,1.73455290481681
"Mississippi",1.73765210544996,1.64504607623926,1.83025813466067
"Massachusetts",1.73884249047973,1.62251748659686,1.8551674943626
"District of Columbia",1.75718662655961,1.37680945227139,2.13756380084784
"Alaska",1.80612820330934,1.49478606129272,2.11747034532595
